id,user_id,action,resource_type,resource_id,status,ip_address,user_agent,request_method,request_path,description,metadata_json,error_message,timestamp,duration_ms
1,2,login,user,2,success,192.168.1.100,Mozilla/5.0 (Windows NT 10.0; Win64; x64),POST,/api/v1/auth/login,User dr_smith logged in successfully,"{""session_id"":""sess_123""}","",2024-01-15 08:30:00,234
2,2,create_case,patient_case,1,success,192.168.1.100,Mozilla/5.0 (Windows NT 10.0; Win64; x64),POST,/api/v1/cases,Created patient case CASE001,"{""case_id"":""CASE001"",""priority"":""emergency""}","",2024-01-15 09:30:00,567
3,2,run_diagnosis,diagnosis,1,success,192.168.1.100,Mozilla/5.0 (Windows NT 10.0; Win64; x64),POST,/api/v1/diagnose,Ran diagnosis for CASE001,"{""top_diagnosis"":""Acute Myocardial Infarction"",""confidence"":0.92}","",2024-01-15 09:35:00,2341
4,2,update_case,patient_case,1,success,192.168.1.100,Mozilla/5.0 (Windows NT 10.0; Win64; x64),PUT,/api/v1/cases/1,Updated case status to completed,"{""status"":""completed""}","",2024-01-15 10:00:00,156
5,5,api_request,patient_case,,success,203.0.113.42,ThirdPartyApp/1.0,GET,/api/v1/cases,API key dk_live_abc accessed cases list,"{""api_key_id"":1,""results_count"":25}","",2024-01-15 10:30:00,423
6,3,create_case,patient_case,5,success,192.168.1.101,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),POST,/api/v1/cases,Created patient case CASE005,"{""case_id"":""CASE005"",""priority"":""emergency""}","",2024-01-15 12:30:00,489
7,8,login,user,8,failure,192.168.1.150,Mozilla/5.0 (X11; Linux x86_64),POST,/api/v1/auth/login,Failed login attempt for suspended user,,Invalid credentials or account suspended,2024-01-15 13:00:00,89
8,2,export_data,patient_case,,success,192.168.1.100,Mozilla/5.0 (Windows NT 10.0; Win64; x64),GET,/api/v1/cases/export,Exported 50 patient cases to CSV,"{""export_format"":""csv"",""record_count"":50}","",2024-01-15 14:00:00,1234
9,4,query_metrics,system_metrics,,success,192.168.1.200,Python-requests/2.28.0,GET,/api/v1/metrics,Research query for system metrics,"{""api_key_id"":3,""date_range"":""2024-01-01 to 2024-01-15""}","",2024-01-15 14:30:00,678
10,6,run_diagnosis,diagnosis,20,success,192.168.1.102,Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X),POST,/api/v1/diagnose,Ran diagnosis for CASE014,"{""top_diagnosis"":""Acute Ischemic Stroke"",""confidence"":0.91}","",2024-01-16 10:20:00,2145
11,1,create_user,user,8,success,192.168.1.1,Mozilla/5.0 (Windows NT 10.0; Win64; x64),POST,/api/v1/users,Admin created new user account,"{""username"":""suspended_user"",""role"":""api_user""}","",2024-01-08 10:00:00,234
12,1,update_user,user,8,success,192.168.1.1,Mozilla/5.0 (Windows NT 10.0; Win64; x64),PUT,/api/v1/users/8,Admin suspended user account after multiple failed logins,"{""status"":""suspended"",""reason"":""security""}","",2024-01-13 18:00:00,156
13,2,access_phi,patient_case,1,success,192.168.1.100,Mozilla/5.0 (Windows NT 10.0; Win64; x64),GET,/api/v1/cases/1,Accessed protected health information for CASE001,"{""phi_fields"":[""patient_age"",""patient_sex"",""symptoms""]}","",2024-01-15 09:31:00,89
14,5,api_request_failed,diagnosis,,failure,203.0.113.42,ThirdPartyApp/1.0,POST,/api/v1/diagnose,API request failed due to rate limiting,,Rate limit exceeded: 1000 requests per hour,2024-01-15 11:00:00,12
15,2,logout,user,2,success,192.168.1.100,Mozilla/5.0 (Windows NT 10.0; Win64; x64),POST,/api/v1/auth/logout,User dr_smith logged out,"{""session_duration"":""9h30m""}","",2024-01-15 18:00:00,67
